1.01	0.45	-1.27	-0.74
1.2	0.53	-1.57	-0.99
1.15	0.53	-1.48	-0.96
1.24	0.36	-1.43	-0.93
1.31	0.37	-1.25	-1.26
1.21	0.55	-1.42	-1.19
1.19	0.5	-1.35	-1.12
1.23	0.52	-1.38	-1.21
1.17	0.66	-1.64	-1.11
1.41	0.33	-1.81	-0.95
1.41	0.27	-1.84	-0.84
1.4	0.27	-2.01	-0.69
1.57	-0.39	-2.14	-0.2
1.83	-0.49	-2.85	-0.29
1.86	-0.93	-3.41	0.19
1.85	-1.95	-3.79	0.82
1.39	-2.74	-4.66	1.7
0.58	-3.77	-5.82	2.5
0.32	-4.2	-6.23	2.69
0.43	-2.94	-5.37	2.44
-0.17	-1.39	-4.85	2.35
0.08	-0.46	-3.44	1.73
0.72	-0.14	-2.97	0.99
1.25	-0.04	-2.7	0.24
1.17	0.43	-1.65	-0.71
0.81	0.61	-1.08	-0.81
1.34	-0.62	-0.98	-0.32
1.41	0.09	-1.33	-0.98
0.72	0.23	-0.13	-1.1
3.29	-1.94	-15.46	-2.91
