1.13	0.42	-1.7	-0.55
1.01	0.64	-1.16	-1.14
1.16	0.38	-1.48	-0.73
1.22	0.27	-1.43	-0.71
1.38	-0.08	-0.94	-1.0
1.22	0.44	-1.3	-1.08
1.15	0.42	-1.06	-1.14
0.95	0.4	-0.71	-1.06
0.95	0.66	-1.21	-0.99
1.22	0.41	-1.55	-0.82
1.2	0.27	-1.27	-0.81
1.04	0.11	-1.17	-0.37
1.15	-0.31	-1.27	-0.05
1.32	-0.21	-1.7	-0.14
1.43	-0.62	-2.63	0.44
1.27	-1.27	-2.23	0.88
0.78	-1.7	-2.6	1.61
0.37	-2.23	-3.57	2.18
0.1	-2.45	-3.76	2.38
0.48	-1.72	-3.46	1.98
-0.36	-0.87	-3.36	2.11
-0.05	-0.4	-2.45	1.59
0.42	0.07	-2.03	0.84
0.97	0.0	-2.1	0.36
0.94	0.5	-1.51	-0.47
0.79	0.75	-1.27	-0.8
0.98	-0.02	-1.27	-0.07
1.41	-0.03	-1.32	-0.78
0.81	0.33	-0.17	-1.34
3.13	-1.76	-9.8	-2.1
