1.03	0.4	-1.31	-0.67
1.17	0.48	-1.39	-1.01
1.14	0.46	-1.4	-0.91
1.19	0.4	-1.38	-0.92
1.24	0.39	-1.15	-1.24
1.21	0.54	-1.39	-1.2
1.17	0.49	-1.31	-1.11
1.17	0.53	-1.23	-1.25
1.06	0.65	-1.39	-1.08
1.36	0.32	-1.7	-0.92
1.4	0.25	-1.73	-0.86
1.37	0.26	-1.86	-0.73
1.52	-0.28	-1.96	-0.31
1.76	-0.42	-2.53	-0.36
1.83	-0.8	-3.13	0.08
1.76	-1.7	-3.54	0.79
1.35	-2.43	-4.01	1.58
0.66	-3.14	-4.85	2.31
0.37	-3.23	-5.31	2.51
0.47	-2.5	-4.67	2.29
-0.06	-1.25	-4.24	2.2
0.1	-0.3	-3.16	1.59
0.74	-0.08	-2.89	0.91
1.22	0.01	-2.58	0.18
1.17	0.49	-1.8	-0.71
0.82	0.69	-1.18	-0.87
1.26	-0.33	-1.13	-0.34
1.45	0.09	-1.4	-1.01
0.66	0.32	-0.11	-1.16
3.15	-1.74	-10.21	-2.3
